Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
75	16	0	1.85183443	293.205197	293.206846	293.205197	293.209277	0.00185806557	0.0010049612	0	54	0.0965614	0	0	3
76	16	0	1.87652556	293.205022	293.206643	293.205022	293.209068	0.00206066977	0.000996973149	0	48.3	0.0960319	0	0	3
77	16	0	1.90121669	293.204879	293.206444	293.204879	293.208788	0.00226014535	0.000987987345	0	43.7	0.095616	0	0	3
78	16	0	1.92590781	293.204781	293.206253	293.204781	293.208418	0.00245097693	0.000977055875	0	39.8	0.0951062	0	0	3
79	16	0	1.95059894	293.204722	293.206077	293.204722	293.208012	0.00262696881	0.000966607978	0	36.7	0.0944937	0	0	3
80	17	0	1.97529006	293.204691	293.205919	293.204691	293.207579	0.00278508988	0.000956783337	0	34.3	0.0938072	0	0	3
81	17	0	1.99998119	293.204671	293.20578	293.204671	293.207183	0.00251173746	0.00094750473	0	37.7	0.0930129	0	0	3
82	17	0	2.02467232	293.20466	293.20566	293.20466	293.206907	0.00224636137	0.000938708799	0	41.7	0.0921524	0	0	3
83	17	0	2.04936344	293.204651	293.205553	293.204651	293.20664	0.00198895553	0.000930356624	0	46.7	0.0912512	0	0	3
84	17	0	2.07405457	293.204642	293.205458	293.204642	293.206413	0.00177092976	0.000922414316	0	52	0.0903289	0	0	3
85	17	0	2.09874569	293.204649	293.205377	293.204642	293.206413	0.00177092976	0.000914833022	0	51.6	0.0894527	0	0	3
86	18	0	2.12343682	293.204656	293.205294	293.204642	293.206413	0.00177092976	0.000907588675	0	51.2	0.0886043	0	0	3
87	18	0	2.14812794	293.204662	293.20521	293.204642	293.20634	0.00169706073	0.000900659299	0	53	0.0878734	0	0	3
88	18	0	2.17281907	293.204677	293.205131	293.204642	293.206235	0.00159258174	0.000894024791	0	56.1	0.087318	0	0	3
89	18	0	2.1975102	293.204795	293.205062	293.204642	293.206161	0.00151882505	0.00088766672	0	58.4	0.0872409	0	0	3
90	18	0	2.22220132	293.204917	293.205003	293.204642	293.20608	0.00143720207	0.000881564708	0	61.3	0.0860666	0	0	3
91	18	0	2.24689245	293.204978	293.204951	293.204642	293.20595	0.00130766529	0.000875666735	0	66.9	0.0855148	0	0	3
92	19	0	2.27158357	293.205095	293.20491	293.204642	293.205758	0.00111563348	0.000869677465	0	77.9	0.0850482	0	0	3
93	19	0	2.2962747	293.205139	293.20488	293.204642	293.205597	0.000954577376	0.000863447577	0	90.4	0.0849944	0	0	3
94	19	0	2.32096582	293.205204	293.204862	293.204642	293.205408	0.000765533039	0.000857179716	0	100	0.0847253	0	0	3
